letter,font,min_x,min_y,max_x,max_y
C,MyriadPro-Regular,449,438,551,576
C,Nadeem,441,443,558,595
C,NewPeninimMT,441,424,558,576
C,Noteworthy-Light,445,454,556,632
C,NotoNastaliqUrdu,441,542,558,694
C,NuevaStd-Cond,470,443,534,569
C,OCRAStd,450,422,549,577
C,Optima-Regular,441,452,559,594
C,OratorStd,462,431,537,568
C,OriyaMN,434,457,564,592
C,OriyaSangamMN,430,441,569,608
C,PTMono-Regular,453,446,548,591
C,PTSans-Regular,454,447,549,592
C,PTSerif-Regular,446,459,552,604
C,Palatino-Roman,435,441,565,585
C,Papyrus,432,460,573,598
C,Phosphate-Inline,443,457,563,597
